1,0,0,1,0,1,0,0,0,0,2,0,0,2,0,2,2,1,1,0
0,0,1,0,1,0,0,0,0,2,0,0,2,0,2,2,1,1,0,5
0,1,0,1,0,0,0,0,2,0,0,2,0,2,2,1,1,0,5,3
1,0,1,0,0,0,0,2,0,0,2,0,2,2,1,1,0,5,3,2
0,1,0,0,0,0,2,0,0,2,0,2,2,1,1,0,5,3,2,4
1,0,0,0,0,2,0,0,2,0,2,2,1,1,0,5,3,2,4,6
0,0,0,0,2,0,0,2,0,2,2,1,1,0,5,3,2,4,6,6
0,0,0,2,0,0,2,0,2,2,1,1,0,5,3,2,4,6,6,13
0,0,2,0,0,2,0,2,2,1,1,0,5,3,2,4,6,6,13,17
0,2,0,0,2,0,2,2,1,1,0,5,3,2,4,6,6,13,17,14
2,0,0,2,0,2,2,1,1,0,5,3,2,4,6,6,13,17,14,21
0,0,2,0,2,2,1,1,0,5,3,2,4,6,6,13,17,14,21,21
0,2,0,2,2,1,1,0,5,3,2,4,6,6,13,17,14,21,21,17
2,0,2,2,1,1,0,5,3,2,4,6,6,13,17,14,21,21,17,17
0,2,2,1,1,0,5,3,2,4,6,6,13,17,14,21,21,17,17,13
2,2,1,1,0,5,3,2,4,6,6,13,17,14,21,21,17,17,13,25
2,1,1,0,5,3,2,4,6,6,13,17,14,21,21,17,17,13,25,28
1,1,0,5,3,2,4,6,6,13,17,14,21,21,17,17,13,25,28,21
1,0,5,3,2,4,6,6,13,17,14,21,21,17,17,13,25,28,21,23
0,5,3,2,4,6,6,13,17,14,21,21,17,17,13,25,28,21,23,27
5,3,2,4,6,6,13,17,14,21,21,17,17,13,25,28,21,23,27,23
3,2,4,6,6,13,17,14,21,21,17,17,13,25,28,21,23,27,23,28
2,4,6,6,13,17,14,21,21,17,17,13,25,28,21,23,27,23,28,27
4,6,6,13,17,14,21,21,17,17,13,25,28,21,23,27,23,28,27,14
6,6,13,17,14,21,21,17,17,13,25,28,21,23,27,23,28,27,14,27
6,13,17,14,21,21,17,17,13,25,28,21,23,27,23,28,27,14,27,22
13,17,14,21,21,17,17,13,25,28,21,23,27,23,28,27,14,27,22,35
17,14,21,21,17,17,13,25,28,21,23,27,23,28,27,14,27,22,35,23
14,21,21,17,17,13,25,28,21,23,27,23,28,27,14,27,22,35,23,39
21,21,17,17,13,25,28,21,23,27,23,28,27,14,27,22,35,23,39,11
21,17,17,13,25,28,21,23,27,23,28,27,14,27,22,35,23,39,11,22
17,17,13,25,28,21,23,27,23,28,27,14,27,22,35,23,39,11,22,33
17,13,25,28,21,23,27,23,28,27,14,27,22,35,23,39,11,22,33,35
13,25,28,21,23,27,23,28,27,14,27,22,35,23,39,11,22,33,35,27
25,28,21,23,27,23,28,27,14,27,22,35,23,39,11,22,33,35,27,18
28,21,23,27,23,28,27,14,27,22,35,23,39,11,22,33,35,27,18,31
21,23,27,23,28,27,14,27,22,35,23,39,11,22,33,35,27,18,31,17
23,27,23,28,27,14,27,22,35,23,39,11,22,33,35,27,18,31,17,18
27,23,28,27,14,27,22,35,23,39,11,22,33,35,27,18,31,17,18,39
23,28,27,14,27,22,35,23,39,11,22,33,35,27,18,31,17,18,39,23
28,27,14,27,22,35,23,39,11,22,33,35,27,18,31,17,18,39,23,47
27,14,27,22,35,23,39,11,22,33,35,27,18,31,17,18,39,23,47,33
14,27,22,35,23,39,11,22,33,35,27,18,31,17,18,39,23,47,33,27
27,22,35,23,39,11,22,33,35,27,18,31,17,18,39,23,47,33,27,24
22,35,23,39,11,22,33,35,27,18,31,17,18,39,23,47,33,27,24,37
35,23,39,11,22,33,35,27,18,31,17,18,39,23,47,33,27,24,37,53
23,39,11,22,33,35,27,18,31,17,18,39,23,47,33,27,24,37,53,102
39,11,22,33,35,27,18,31,17,18,39,23,47,33,27,24,37,53,102,80
11,22,33,35,27,18,31,17,18,39,23,47,33,27,24,37,53,102,80,42
22,33,35,27,18,31,17,18,39,23,47,33,27,24,37,53,102,80,42,58
33,35,27,18,31,17,18,39,23,47,33,27,24,37,53,102,80,42,58,47
35,27,18,31,17,18,39,23,47,33,27,24,37,53,102,80,42,58,47,28
27,18,31,17,18,39,23,47,33,27,24,37,53,102,80,42,58,47,28,64
18,31,17,18,39,23,47,33,27,24,37,53,102,80,42,58,47,28,64,69
31,17,18,39,23,47,33,27,24,37,53,102,80,42,58,47,28,64,69,67
17,18,39,23,47,33,27,24,37,53,102,80,42,58,47,28,64,69,67,48
18,39,23,47,33,27,24,37,53,102,80,42,58,47,28,64,69,67,48,51
39,23,47,33,27,24,37,53,102,80,42,58,47,28,64,69,67,48,51,33
23,47,33,27,24,37,53,102,80,42,58,47,28,64,69,67,48,51,33,32
47,33,27,24,37,53,102,80,42,58,47,28,64,69,67,48,51,33,32,77
33,27,24,37,53,102,80,42,58,47,28,64,69,67,48,51,33,32,77,58
27,24,37,53,102,80,42,58,47,28,64,69,67,48,51,33,32,77,58,46
24,37,53,102,80,42,58,47,28,64,69,67,48,51,33,32,77,58,46,26
37,53,102,80,42,58,47,28,64,69,67,48,51,33,32,77,58,46,26,61
53,102,80,42,58,47,28,64,69,67,48,51,33,32,77,58,46,26,61,27
102,80,42,58,47,28,64,69,67,48,51,33,32,77,58,46,26,61,27,21
80,42,58,47,28,64,69,67,48,51,33,32,77,58,46,26,61,27,21,45
42,58,47,28,64,69,67,48,51,33,32,77,58,46,26,61,27,21,45,48
58,47,28,64,69,67,48,51,33,32,77,58,46,26,61,27,21,45,48,52
47,28,64,69,67,48,51,33,32,77,58,46,26,61,27,21,45,48,52,56
28,64,69,67,48,51,33,32,77,58,46,26,61,27,21,45,48,52,56,52
64,69,67,48,51,33,32,77,58,46,26,61,27,21,45,48,52,56,52,28
69,67,48,51,33,32,77,58,46,26,61,27,21,45,48,52,56,52,28,43
67,48,51,33,32,77,58,46,26,61,27,21,45,48,52,56,52,28,43,46
48,51,33,32,77,58,46,26,61,27,21,45,48,52,56,52,28,43,46,50
51,33,32,77,58,46,26,61,27,21,45,48,52,56,52,28,43,46,50,59
33,32,77,58,46,26,61,27,21,45,48,52,56,52,28,43,46,50,59,45
32,77,58,46,26,61,27,21,45,48,52,56,52,28,43,46,50,59,45,41
77,58,46,26,61,27,21,45,48,52,56,52,28,43,46,50,59,45,41,32
58,46,26,61,27,21,45,48,52,56,52,28,43,46,50,59,45,41,32,23
46,26,61,27,21,45,48,52,56,52,28,43,46,50,59,45,41,32,23,16
26,61,27,21,45,48,52,56,52,28,43,46,50,59,45,41,32,23,16,39
61,27,21,45,48,52,56,52,28,43,46,50,59,45,41,32,23,16,39,29
27,21,45,48,52,56,52,28,43,46,50,59,45,41,32,23,16,39,29,30
21,45,48,52,56,52,28,43,46,50,59,45,41,32,23,16,39,29,30,27
45,48,52,56,52,28,43,46,50,59,45,41,32,23,16,39,29,30,27,13
48,52,56,52,28,43,46,50,59,45,41,32,23,16,39,29,30,27,13,14
52,56,52,28,43,46,50,59,45,41,32,23,16,39,29,30,27,13,14,39
56,52,28,43,46,50,59,45,41,32,23,16,39,29,30,27,13,14,39,37
52,28,43,46,50,59,45,41,32,23,16,39,29,30,27,13,14,39,37,28
28,43,46,50,59,45,41,32,23,16,39,29,30,27,13,14,39,37,28,31
43,46,50,59,45,41,32,23,16,39,29,30,27,13,14,39,37,28,31,29
46,50,59,45,41,32,23,16,39,29,30,27,13,14,39,37,28,31,29,30
50,59,45,41,32,23,16,39,29,30,27,13,14,39,37,28,31,29,30,29
59,45,41,32,23,16,39,29,30,27,13,14,39,37,28,31,29,30,29,57
